index,LSH_Distance,KD_Distance,Difference
501,647.171,564.049,83.121
502,622.886,548.881,74.005
503,655.655,594.660,60.996
504,613.922,566.525,47.397
505,639.904,575.781,64.122
506,660.255,592.929,67.326
507,623.254,588.925,34.330
508,626.778,569.907,56.871
509,619.985,573.396,46.589
510,619.680,584.012,35.668
511,610.332,564.391,45.941
512,642.914,569.749,73.165
513,605.738,557.942,47.796
514,607.194,565.422,41.772
515,659.296,604.847,54.449
516,601.764,559.910,41.854
517,619.416,581.019,38.397
518,641.921,585.795,56.125
519,678.857,619.897,58.960
520,658.336,603.414,54.922
521,632.518,596.950,35.568
522,609.266,579.108,30.158
523,621.348,557.782,63.566
524,683.999,578.771,105.228
525,628.507,574.100,54.407
526,615.880,565.469,50.410
527,640.197,606.994,33.203
528,640.923,577.146,63.777
529,637.438,583.124,54.315
530,687.270,592.916,94.354
531,614.701,547.798,66.903
532,653.528,602.842,50.686
533,647.360,579.431,67.929
534,651.017,602.220,48.797
535,647.558,593.727,53.831
536,651.200,591.956,59.244
537,591.820,559.861,31.959
538,616.263,564.661,51.602
539,637.512,578.935,58.577
540,613.051,556.677,56.373
541,661.269,590.778,70.492
542,667.036,619.200,47.836
543,657.616,594.549,63.066
544,652.921,582.938,69.984
545,619.358,590.434,28.924
546,614.845,583.637,31.208
547,636.828,581.878,54.950
548,665.610,592.983,72.627
549,612.411,580.074,32.337
550,632.081,577.861,54.220
551,617.545,585.279,32.266
552,623.484,552.423,71.061
553,610.686,572.165,38.521
554,651.296,589.899,61.397
555,657.597,559.688,97.910
556,628.984,583.397,45.588
557,599.335,572.310,27.024
558,608.471,547.488,60.982
559,617.671,557.008,60.663
560,639.036,564.880,74.157
561,635.183,578.774,56.409
562,592.230,590.774,1.456
563,644.553,574.064,70.488
564,664.357,589.068,75.289
565,618.275,565.501,52.775
566,642.426,565.510,76.917
567,617.913,553.696,64.218
568,630.263,552.322,77.941
569,621.616,541.330,80.287
570,658.857,581.154,77.704
571,592.383,550.292,42.091
572,603.462,564.010,39.452
573,628.065,573.852,54.213
574,633.893,583.253,50.640
575,630.083,548.507,81.575
576,635.026,578.447,56.578
577,654.164,576.064,78.100
578,631.096,582.679,48.416
579,599.538,570.692,28.846
580,617.731,573.240,44.491
581,640.923,582.458,58.465
582,604.161,560.620,43.541
583,633.955,545.075,88.880
584,594.946,557.543,37.403
585,658.274,602.884,55.390
586,671.053,566.817,104.236
587,639.305,576.616,62.690
588,559.910,550.164,9.746
589,677.097,596.748,80.348
590,641.845,583.002,58.843
591,615.474,552.093,63.381
592,623.860,563.561,60.299
593,577.268,539.450,37.818
594,617.225,553.498,63.727
595,614.825,574.517,40.308
596,661.763,591.862,69.900
597,596.288,561.343,34.945
598,601.923,578.044,23.879
599,639.856,567.465,72.391
600,636.483,579.402,57.081
601,598.095,561.410,36.685
602,664.850,588.953,75.897
603,665.256,606.680,58.575
604,607.303,561.006,46.297
605,629.337,589.086,40.251
606,641.317,573.983,67.334
607,621.554,586.064,35.490
608,620.404,587.281,33.123
609,638.782,562.834,75.947
610,632.218,560.625,71.593
611,676.652,590.229,86.423
612,583.374,557.426,25.948
613,611.890,562.770,49.119
614,639.030,572.143,66.887
615,628.575,593.397,35.179
616,600.538,553.806,46.731
617,651.110,581.311,69.799
618,621.863,582.800,39.063
619,680.254,580.325,99.929
620,615.301,555.254,60.046
621,646.782,592.266,54.516
622,644.689,571.559,73.130
623,628.019,557.665,70.354
624,651.114,600.209,50.905
625,654.420,581.546,72.874
626,589.056,526.712,62.344
627,624.828,536.313,88.515
628,621.734,567.299,54.435
629,602.841,541.477,61.364
630,631.294,573.610,57.684
631,618.026,529.639,88.387
632,676.125,593.727,82.398
633,647.801,601.578,46.223
634,626.274,557.797,68.476
635,613.131,594.724,18.407
636,607.768,555.728,52.041
637,637.828,585.103,52.725
638,617.127,572.641,44.487
639,666.704,581.271,85.433
640,636.740,588.583,48.158
641,617.906,562.344,55.562
642,613.401,557.830,55.571
643,601.529,540.750,60.780
644,646.375,590.853,55.522
645,625.625,581.854,43.772
646,611.288,566.474,44.814
647,624.324,573.332,50.992
648,610.912,560.185,50.728
649,636.510,566.907,69.603
650,621.125,577.936,43.189
651,616.448,575.757,40.691
652,656.347,601.761,54.586
653,656.714,591.404,65.310
654,632.179,569.671,62.508
655,657.902,594.409,63.493
656,634.172,575.417,58.755
657,668.582,587.377,81.206
658,598.391,525.784,72.607
659,633.002,578.917,54.085
660,641.756,589.124,52.631
661,669.212,581.405,87.806
662,658.437,600.077,58.360
663,608.478,552.983,55.496
664,616.109,567.464,48.645
665,639.678,573.391,66.287
666,628.415,576.205,52.210
667,621.084,586.472,34.612
668,642.434,575.889,66.544
669,632.259,600.627,31.632
670,624.314,594.077,30.237
671,638.489,559.784,78.705
672,648.088,573.442,74.647
673,611.753,548.659,63.094
674,645.180,568.119,77.061
675,641.555,585.037,56.518
676,598.024,577.982,20.042
677,634.866,576.542,58.325
678,624.786,569.455,55.331
679,587.134,577.172,9.962
680,643.392,574.607,68.784
681,596.493,596.493,0.000
682,637.569,595.434,42.135
683,628.623,594.879,33.744
684,646.489,579.844,66.645
685,631.980,551.946,80.034
686,611.506,578.079,33.427
687,591.835,563.311,28.524
688,673.141,593.348,79.793
689,643.080,572.039,71.042
690,618.323,569.951,48.372
691,649.511,579.217,70.294
692,628.105,558.539,69.566
693,600.409,566.349,34.061
694,617.652,608.442,9.211
695,662.818,576.004,86.814
696,622.180,561.070,61.110
697,641.870,583.709,58.162
698,608.079,588.670,19.409
699,630.499,591.045,39.454
700,623.657,574.455,49.202
701,641.467,534.030,107.437
702,617.649,576.681,40.969
703,612.407,576.309,36.098
704,664.341,598.061,66.280
705,627.566,559.909,67.657
706,618.647,565.442,53.205
707,570.229,559.859,10.370
708,631.873,586.447,45.427
709,648.889,585.244,63.645
710,592.222,551.254,40.969
711,594.576,578.695,15.881
712,623.539,566.374,57.164
713,591.142,557.834,33.308
714,665.303,592.840,72.462
715,623.895,550.602,73.293
716,613.700,551.687,62.014
717,628.486,577.182,51.304
718,590.423,563.878,26.546
719,608.113,559.084,49.029
720,610.739,546.132,64.606
721,640.995,588.082,52.913
722,640.146,561.990,78.156
723,634.862,575.321,59.541
724,647.511,571.971,75.540
725,613.522,582.559,30.963
726,610.640,571.080,39.560
727,626.455,571.256,55.199
728,628.341,557.670,70.671
729,607.642,560.582,47.060
730,635.537,580.049,55.488
731,648.545,579.255,69.290
732,590.661,586.779,3.882
733,628.420,566.810,61.610
734,627.594,597.014,30.580
735,649.331,578.680,70.650
736,654.874,592.654,62.220
737,620.914,571.129,49.785
738,649.101,590.246,58.855
739,639.667,528.627,111.039
740,639.148,605.822,33.326
741,618.556,544.918,73.638
742,649.720,574.323,75.397
743,637.003,555.786,81.217
744,649.554,583.108,66.446
745,642.396,588.832,53.564
746,612.487,583.679,28.808
747,664.702,578.242,86.460
748,649.212,572.814,76.398
749,667.832,610.289,57.543
750,648.610,581.994,66.616
751,643.224,556.996,86.228
752,628.066,573.887,54.179
753,640.078,583.609,56.469
754,670.204,597.431,72.773
755,620.242,582.350,37.892
756,580.035,543.489,36.546
757,637.837,593.246,44.591
758,620.698,582.595,38.102
759,649.941,577.469,72.473
760,650.908,608.942,41.965
761,619.507,577.725,41.782
762,618.560,571.586,46.974
763,605.603,559.082,46.521
764,650.984,586.357,64.627
765,632.274,575.553,56.721
766,641.306,589.770,51.536
767,652.345,576.177,76.168
768,634.040,576.403,57.638
769,611.352,591.524,19.828
770,660.447,567.940,92.507
771,634.779,581.950,52.829
772,606.873,552.255,54.619
773,655.706,604.192,51.514
774,618.672,572.025,46.648
775,630.821,556.658,74.163
776,680.883,601.813,79.070
777,638.100,549.062,89.038
778,598.644,536.755,61.890
779,632.994,547.890,85.104
780,634.398,549.582,84.816
781,650.644,576.268,74.376
782,639.273,573.606,65.667
783,609.940,564.572,45.368
784,606.358,558.451,47.907
785,620.290,552.850,67.440
786,659.721,607.808,51.912
787,631.821,559.471,72.350
788,597.669,582.916,14.754
789,601.275,559.638,41.636
790,602.182,558.849,43.333
791,630.686,574.822,55.864
792,647.507,573.975,73.532
793,674.009,602.063,71.945
794,654.228,602.878,51.351
795,605.505,555.140,50.365
796,629.388,564.750,64.638
797,612.822,555.570,57.252
798,630.247,579.117,51.130
799,614.666,553.343,61.323
800,648.146,569.684,78.463
801,641.697,574.486,67.211
802,641.680,556.627,85.053
803,621.645,535.475,86.169
804,624.406,567.548,56.858
805,620.413,583.942,36.472
806,647.053,522.817,124.236
807,621.186,538.009,83.176
808,622.681,564.269,58.412
809,636.457,588.690,47.768
810,614.962,557.839,57.122
811,657.544,565.129,92.415
812,673.425,597.982,75.443
813,663.392,583.970,79.421
814,636.174,581.807,54.366
815,643.259,591.290,51.970
816,609.345,544.608,64.737
817,721.063,610.420,110.643
818,623.805,566.477,57.328
819,617.744,552.378,65.365
820,600.079,548.810,51.269
821,610.379,565.269,45.110
822,629.093,569.774,59.318
823,587.201,550.341,36.861
824,653.425,580.812,72.613
825,628.082,571.028,57.054
826,642.727,566.535,76.192
827,617.801,582.935,34.867
828,670.447,596.311,74.136
829,647.463,558.573,88.890
830,614.304,562.579,51.725
831,632.001,572.091,59.910
832,609.424,566.073,43.351
833,618.818,545.631,73.187
834,621.719,591.657,30.062
835,638.526,563.511,75.015
836,638.227,586.701,51.527
837,646.147,600.515,45.632
838,623.165,567.429,55.737
839,642.529,568.739,73.790
840,630.868,591.065,39.802
841,641.120,605.035,36.085
842,661.514,594.387,67.127
843,620.440,571.426,49.014
844,627.966,580.886,47.080
845,622.145,559.255,62.890
846,607.473,567.143,40.330
847,640.100,594.519,45.581
848,582.081,544.524,37.557
849,637.788,567.656,70.132
850,624.549,581.300,43.249
851,623.492,566.136,57.356
852,625.611,595.924,29.687
853,631.164,580.084,51.080
854,601.431,564.026,37.405
855,632.421,574.617,57.804
856,631.732,593.083,38.648
857,624.697,583.286,41.411
858,640.191,589.887,50.304
859,640.112,588.111,52.001
860,641.785,546.415,95.371
861,589.799,540.406,49.393
862,682.603,608.406,74.197
863,632.521,542.643,89.878
864,648.132,581.562,66.570
865,643.452,581.389,62.063
866,657.549,572.844,84.705
867,605.064,573.808,31.256
868,638.756,550.274,88.482
869,635.784,581.860,53.925
870,604.045,555.665,48.380
871,644.751,559.449,85.302
872,634.915,588.763,46.152
873,620.651,556.423,64.228
874,657.245,597.483,59.761
875,654.960,585.878,69.082
876,644.085,563.431,80.654
877,641.858,569.626,72.232
878,633.454,584.826,48.628
879,615.072,549.172,65.900
880,608.428,555.572,52.855
881,639.062,566.347,72.714
882,619.048,564.654,54.395
883,635.028,571.739,63.289
884,607.563,574.036,33.527
885,614.056,565.222,48.834
886,596.225,565.086,31.139
887,626.931,585.285,41.646
888,632.956,563.242,69.713
889,627.660,577.927,49.732
890,623.888,565.955,57.933
891,648.656,574.807,73.849
892,635.139,558.645,76.494
893,642.638,579.246,63.392
894,657.845,572.708,85.138
895,618.954,580.044,38.910
896,594.431,565.374,29.057
897,636.861,596.859,40.001
898,627.059,564.446,62.613
899,585.897,565.570,20.327
900,591.778,547.918,43.860
901,644.327,586.975,57.352
902,637.650,598.558,39.092
903,638.429,549.071,89.358
904,654.426,617.468,36.957
905,605.792,505.054,100.738
906,649.661,543.558,106.103
907,569.666,530.940,38.725
908,629.667,598.409,31.258
909,670.579,612.489,58.090
910,641.355,586.233,55.122
911,675.155,583.221,91.934
912,640.907,593.483,47.424
913,605.194,567.397,37.797
914,647.465,568.517,78.948
915,596.460,562.224,34.237
916,615.633,573.085,42.548
917,589.211,530.808,58.402
918,660.877,581.164,79.713
919,590.661,543.957,46.703
920,626.828,590.029,36.799
921,625.514,550.833,74.681
922,641.175,594.937,46.239
923,585.029,585.029,0.000
924,629.799,568.689,61.109
925,601.574,554.532,47.042
926,641.605,575.448,66.156
927,619.063,558.772,60.291
928,632.016,531.711,100.305
929,648.010,577.911,70.100
930,660.703,569.100,91.603
931,630.717,567.908,62.808
932,636.034,590.060,45.974
933,657.185,569.050,88.135
934,642.810,584.920,57.890
935,630.211,567.160,63.051
936,607.414,561.766,45.648
937,675.386,590.773,84.613
938,628.433,582.553,45.880
939,666.351,610.792,55.560
940,652.478,583.555,68.922
941,648.447,588.988,59.459
942,618.103,568.125,49.978
943,555.838,555.838,0.000
944,616.386,581.387,35.000
945,653.357,585.311,68.046
946,650.501,602.663,47.838
947,636.849,585.204,51.645
948,623.233,574.245,48.988
949,640.208,568.436,71.772
950,674.102,593.018,81.084
951,613.480,537.879,75.601
952,597.335,575.752,21.582
953,608.588,556.269,52.319
954,649.511,580.284,69.228
955,661.304,590.710,70.595
956,615.848,579.057,36.791
957,644.038,554.146,89.893
958,643.101,595.003,48.098
959,610.195,567.618,42.576
960,606.105,551.826,54.279
961,653.365,590.285,63.080
962,635.430,577.006,58.424
963,620.110,561.463,58.647
964,639.423,586.611,52.812
965,662.560,601.691,60.869
966,642.250,576.732,65.519
967,609.010,568.184,40.826
968,651.249,591.405,59.844
969,636.277,572.576,63.701
970,643.080,581.708,61.371
971,667.170,609.375,57.796
972,623.169,591.436,31.733
973,618.552,573.365,45.187
974,620.809,580.492,40.317
975,647.553,609.848,37.705
976,653.734,595.761,57.973
977,649.884,579.301,70.583
978,597.921,554.348,43.573
979,629.402,552.937,76.465
980,708.998,626.514,82.484
981,627.974,581.872,46.101
982,609.363,584.991,24.373
983,620.481,578.198,42.283
984,644.348,568.441,75.907
985,652.567,578.296,74.270
986,596.606,565.658,30.948
987,637.846,550.220,87.626
988,658.026,605.781,52.245
989,634.903,585.865,49.038
990,651.771,593.397,58.374
991,651.024,598.413,52.611
992,596.362,566.853,29.509
993,639.644,562.458,77.187
994,648.468,608.030,40.438
995,617.971,553.926,64.045
996,642.009,594.777,47.232
997,640.096,575.589,64.507
998,650.620,575.041,75.579
999,607.184,547.762,59.422
